Date,city,Rainfall_mm
17-01-2001,Ariyalur,2
09-01-2002,Ariyalur,11.8
01-02-2002,Ariyalur,221.8
04-05-2002,Ariyalur,132.2
01-06-2002,Ariyalur,257
06-07-2002,Ariyalur,56
01-08-2002,Ariyalur,80.6
05-09-2002,Ariyalur,373.5
02-10-2002,Ariyalur,526.8
01-11-2002,Ariyalur,152.7
07-12-2002,Ariyalur,57
05-01-2003,Ariyalur,12
06-04-2003,Ariyalur,75.6
01-05-2003,Ariyalur,89.2
04-06-2003,Ariyalur,139.6
09-07-2003,Ariyalur,182
01-08-2003,Ariyalur,439.6
01-09-2003,Ariyalur,171.8
02-10-2003,Ariyalur,484.4
01-11-2003,Ariyalur,471
01-12-2003,Ariyalur,19
01-01-2004,Ariyalur,10.2
08-04-2004,Ariyalur,40
03-05-2004,Ariyalur,631
01-06-2004,Ariyalur,37.2
09-07-2004,Ariyalur,111.6
09-08-2004,Ariyalur,141
01-09-2004,Ariyalur,555.6
01-10-2004,Ariyalur,600.4
01-11-2004,Ariyalur,233.7
03-12-2004,Ariyalur,10.2
14-03-2005,Ariyalur,28
04-04-2005,Ariyalur,193.2
01-05-2005,Ariyalur,283
10-06-2005,Ariyalur,9
14-07-2005,Ariyalur,171
25-08-2005,Ariyalur,111
01-09-2005,Ariyalur,235.8
01-10-2005,Ariyalur,361.5
02-11-2005,Ariyalur,780.6
03-12-2005,Ariyalur,407
06-01-2006,Ariyalur,29
04-03-2006,Ariyalur,69
16-04-2006,Ariyalur,78
04-05-2006,Ariyalur,164
15-06-2006,Ariyalur,101
21-07-2006,Ariyalur,8
19-08-2006,Ariyalur,131.8
01-09-2006,Ariyalur,344.2
05-10-2006,Ariyalur,451.2
01-11-2006,Ariyalur,253.2
01-12-2006,Ariyalur,71.8
15-04-2007,Ariyalur,98
03-05-2007,Ariyalur,208.4
06-06-2007,Ariyalur,76
12-07-2007,Ariyalur,135
01-08-2007,Ariyalur,391
06-09-2007,Ariyalur,131
05-10-2007,Ariyalur,461.8
